time,IP,seq
1462855426,2001:470:83ae:2:212:6d02:0:400f,37
1462855427,2001:470:83ae:2:212:6d02:0:4035,35
1462855427,2001:470:83ae:2:212:6d02:0:4043,35
1462855430,2001:470:83ae:2:212:6d02:0:4042,36
1462855431,2001:470:83ae:2:212:6d02:0:4044,37
1462855431,2001:470:83ae:2:212:6d02:0:4013,37
1462855433,2001:470:83ae:2:212:6d02:0:4040,36
1462855434,2001:470:83ae:2:212:6d02:0:4034,38
1462855435,2001:470:83ae:2:212:6d02:0:4041,34
1462855436,2001:470:83ae:2:212:6d02:0:400f,38
1462855437,2001:470:83ae:2:212:6d02:0:4035,36
1462855438,2001:470:83ae:2:212:6d02:0:4043,36
1462855440,2001:470:83ae:2:212:6d02:0:4042,37
1462855441,2001:470:83ae:2:212:6d02:0:4044,38
1462855441,2001:470:83ae:2:212:6d02:0:4013,38
1462855443,2001:470:83ae:2:212:6d02:0:4040,37
1462855444,2001:470:83ae:2:212:6d02:0:4034,39
1462855446,2001:470:83ae:2:212:6d02:0:4041,35
1462855446,2001:470:83ae:2:212:6d02:0:400f,39
1462855447,2001:470:83ae:2:212:6d02:0:4035,37
1462855448,2001:470:83ae:2:212:6d02:0:4043,37
1462855450,2001:470:83ae:2:212:6d02:0:4042,38
1462855451,2001:470:83ae:2:212:6d02:0:4044,39
1462855451,2001:470:83ae:2:212:6d02:0:4013,39
1462855453,2001:470:83ae:2:212:6d02:0:4040,38
1462855454,2001:470:83ae:2:212:6d02:0:4034,40
1462855456,2001:470:83ae:2:212:6d02:0:4041,36
1462855456,2001:470:83ae:2:212:6d02:0:400f,40
1462855457,2001:470:83ae:2:212:6d02:0:4035,38
1462855458,2001:470:83ae:2:212:6d02:0:4043,39
1462855460,2001:470:83ae:2:212:6d02:0:4042,39
1462855461,2001:470:83ae:2:212:6d02:0:4044,40
1462855463,2001:470:83ae:2:212:6d02:0:4040,39
1462855464,2001:470:83ae:2:212:6d02:0:4034,41
1462855467,2001:470:83ae:2:212:6d02:0:4035,39
1462855467,2001:470:83ae:2:212:6d02:0:4041,37
1462855468,2001:470:83ae:2:212:6d02:0:4043,40
1462855470,2001:470:83ae:2:212:6d02:0:4042,40
1462855471,2001:470:83ae:2:212:6d02:0:4013,41
1462855471,2001:470:83ae:2:212:6d02:0:4044,41
1462855473,2001:470:83ae:2:212:6d02:0:4040,40
1462855474,2001:470:83ae:2:212:6d02:0:4034,42
1462855477,2001:470:83ae:2:212:6d02:0:4035,40
1462855477,2001:470:83ae:2:212:6d02:0:4041,38
1462855478,2001:470:83ae:2:212:6d02:0:4043,41
1462855480,2001:470:83ae:2:212:6d02:0:4042,41
1462855481,2001:470:83ae:2:212:6d02:0:4013,42
1462855481,2001:470:83ae:2:212:6d02:0:4044,42
1462855483,2001:470:83ae:2:212:6d02:0:4040,41
1462855484,2001:470:83ae:2:212:6d02:0:4034,43
1462855487,2001:470:83ae:2:212:6d02:0:4035,41
1462855488,2001:470:83ae:2:212:6d02:0:4041,39
1462855488,2001:470:83ae:2:212:6d02:0:4043,42
1462855490,2001:470:83ae:2:212:6d02:0:4042,42
1462855491,2001:470:83ae:2:212:6d02:0:4013,43
1462855491,2001:470:83ae:2:212:6d02:0:4044,43
1462855493,2001:470:83ae:2:212:6d02:0:4040,42
1462855494,2001:470:83ae:2:212:6d02:0:4034,44
1462855497,2001:470:83ae:2:212:6d02:0:4035,42
1462855498,2001:470:83ae:2:212:6d02:0:4043,43
1462855498,2001:470:83ae:2:212:6d02:0:4041,40
1462855499,2001:470:83ae:2:212:6d02:0:4043,42
1462855500,2001:470:83ae:2:212:6d02:0:4042,43
1462855501,2001:470:83ae:2:212:6d02:0:4013,44
1462855501,2001:470:83ae:2:212:6d02:0:4044,44
1462855503,2001:470:83ae:2:212:6d02:0:4040,43
1462855504,2001:470:83ae:2:212:6d02:0:4034,45
1462855507,2001:470:83ae:2:212:6d02:0:4035,43
1462855508,2001:470:83ae:2:212:6d02:0:4043,44
1462855509,2001:470:83ae:2:212:6d02:0:4041,41
1462855510,2001:470:83ae:2:212:6d02:0:4043,43
1462855510,2001:470:83ae:2:212:6d02:0:4042,44
1462855511,2001:470:83ae:2:212:6d02:0:4013,45
1462855511,2001:470:83ae:2:212:6d02:0:4044,45
1462855513,2001:470:83ae:2:212:6d02:0:4040,44
1462855514,2001:470:83ae:2:212:6d02:0:4034,46
1462855516,2001:470:83ae:2:212:6d02:0:400f,46
1462855517,2001:470:83ae:2:212:6d02:0:4035,44
1462855518,2001:470:83ae:2:212:6d02:0:4043,45
1462855519,2001:470:83ae:2:212:6d02:0:4041,42
1462855520,2001:470:83ae:2:212:6d02:0:4042,45
1462855520,2001:470:83ae:2:212:6d02:0:4043,44
1462855521,2001:470:83ae:2:212:6d02:0:4013,46
1462855521,2001:470:83ae:2:212:6d02:0:4044,46
1462855523,2001:470:83ae:2:212:6d02:0:4040,45
1462855524,2001:470:83ae:2:212:6d02:0:4034,47
1462855527,2001:470:83ae:2:212:6d02:0:4035,45
1462855528,2001:470:83ae:2:212:6d02:0:4043,46
1462855530,2001:470:83ae:2:212:6d02:0:4041,43
1462855530,2001:470:83ae:2:212:6d02:0:4042,46
1462855530,2001:470:83ae:2:212:6d02:0:4043,45
