00:02:08 fe80::212:6d02:0:400d,ff02::1a,60,1,
00:02:08 fe80::212:6d02:0:3005,ff02::1a,41,1,
00:02:08 fe80::212:6d02:0:304e,ff02::1a,21,1,
00:02:08 fe80::212:6d02:0:4012,ff02::1a,52,1,
00:02:09 fe80::212:6d02:0:304e,ff02::2,22,0,1
00:02:09 fe80::212:6d02:0:400d,fe80::212:6d02:0:304e,61,0,1,3
00:02:09 ,61,,
00:02:09 fe80::212:6d02:0:400d,ff02::1a,62,1,
00:02:09 fe80::212:6d02:0:310d,ff02::1a,49,1,
00:02:09 fe80::212:6d02:0:400f,ff02::1a,36,1,
